score,review,y
7,무난함,1
4,가게 이름 처럼 원칙을 지켜 숙성해서 그런지 맛있었고 깔끔하고 친절~^^,1
3,불고기 쌈밥 먹었어요 양도 넉넉하고 불고기 부드럽더라구요가게로 깔끔하고 직원분도친절하셨어요,0
7,무난함,1
4,가게 이름 처럼 원칙을 지켜 숙성해서 그런지 맛있었고 깔끔하고 친절~^^,1
3,불고기 쌈밥 먹었어요 양도 넉넉하고 불고기 부드럽더라구요가게로 깔끔하고 직원분도친절하셨어요,0
5,삼산에 맛집이 많다보니 늘 검색하는데 여긴 지인이 입이 마르도록 칭찬을 해서 갔어요 ㅋㅋ 고기진짜 질 좋네요 반찬도 깔끔하게 잘나와요 저도 소개마니 할듯~~^^자주올께요,1
2,삼겹살 존맛탱!!! 짱! 단체회식 최적화 굿,0
5,숙성삼겹 주문했다가 넘 맛있어서 덧살이랑 와규까지 완전 제대로 먹고 왔어요ㅋㅋ 진짜 배불리 잘 먹었네요♡,1
6,서비스도 좋고 맛도 엄청 좋았어요~가족들이랑 같이 갔는데 다 만족하는 식사였습니다.음식 세팅이며 주변 정리정돈 보고 엄청 꼼꼼하신 분이구나라고 생각 할 정도로 청결했어요~,1
5,숙성삼겹도 진짜 맛있었는데 덧살 완전 제스타일이던데요!!! 맛있게 잘 먹고왔습니당,1
7,무난함,1
4,가게 이름 처럼 원칙을 지켜 숙성해서 그런지 맛있었고 깔끔하고 친절~^^,1
3,불고기 쌈밥 먹었어요 양도 넉넉하고 불고기 부드럽더라구요가게로 깔끔하고 직원분도친절하셨어요,0
5,삼산에 맛집이 많다보니 늘 검색하는데 여긴 지인이 입이 마르도록 칭찬을 해서 갔어요 ㅋㅋ 고기진짜 질 좋네요 반찬도 깔끔하게 잘나와요 저도 소개마니 할듯~~^^자주올께요,1
2,삼겹살 존맛탱!!! 짱! 단체회식 최적화 굿,0
5,숙성삼겹 주문했다가 넘 맛있어서 덧살이랑 와규까지 완전 제대로 먹고 왔어요ㅋㅋ 진짜 배불리 잘 먹었네요♡,1
6,서비스도 좋고 맛도 엄청 좋았어요~가족들이랑 같이 갔는데 다 만족하는 식사였습니다.음식 세팅이며 주변 정리정돈 보고 엄청 꼼꼼하신 분이구나라고 생각 할 정도로 청결했어요~,1
5,숙성삼겹도 진짜 맛있었는데 덧살 완전 제스타일이던데요!!! 맛있게 잘 먹고왔습니당,1
4,맛있고 좋았습니다,1
5,굿,1
3,항아리 숙성고기 중 특수부위 삼겹살 모두 쫄깃하고 맛있었습니다같이 나오는 서브메뉴로 조개탕도 얼큰하고 심심한게 좋네요. 별미로 김치말이국수 시켰는데 물회양념을 써서 매콤달콤합니당! 추천.,0
5,"계산서에 소주를 3병이나 더 올려놨던데, 계산할때 확인하고 뺐지만 좀 주의해주세요.",1
7,무난함,1
4,가게 이름 처럼 원칙을 지켜 숙성해서 그런지 맛있었고 깔끔하고 친절~^^,1
3,불고기 쌈밥 먹었어요 양도 넉넉하고 불고기 부드럽더라구요가게로 깔끔하고 직원분도친절하셨어요,0
5,삼산에 맛집이 많다보니 늘 검색하는데 여긴 지인이 입이 마르도록 칭찬을 해서 갔어요 ㅋㅋ 고기진짜 질 좋네요 반찬도 깔끔하게 잘나와요 저도 소개마니 할듯~~^^자주올께요,1
2,삼겹살 존맛탱!!! 짱! 단체회식 최적화 굿,0
5,숙성삼겹 주문했다가 넘 맛있어서 덧살이랑 와규까지 완전 제대로 먹고 왔어요ㅋㅋ 진짜 배불리 잘 먹었네요♡,1
6,서비스도 좋고 맛도 엄청 좋았어요~가족들이랑 같이 갔는데 다 만족하는 식사였습니다.음식 세팅이며 주변 정리정돈 보고 엄청 꼼꼼하신 분이구나라고 생각 할 정도로 청결했어요~,1
5,숙성삼겹도 진짜 맛있었는데 덧살 완전 제스타일이던데요!!! 맛있게 잘 먹고왔습니당,1
4,맛있고 좋았습니다,1
5,굿,1
3,항아리 숙성고기 중 특수부위 삼겹살 모두 쫄깃하고 맛있었습니다같이 나오는 서브메뉴로 조개탕도 얼큰하고 심심한게 좋네요. 별미로 김치말이국수 시켰는데 물회양념을 써서 매콤달콤합니당! 추천.,0
5,"계산서에 소주를 3병이나 더 올려놨던데, 계산할때 확인하고 뺐지만 좀 주의해주세요.",1
7,무난함,1
4,가게 이름 처럼 원칙을 지켜 숙성해서 그런지 맛있었고 깔끔하고 친절~^^,1
3,불고기 쌈밥 먹었어요 양도 넉넉하고 불고기 부드럽더라구요가게로 깔끔하고 직원분도친절하셨어요,0
5,삼산에 맛집이 많다보니 늘 검색하는데 여긴 지인이 입이 마르도록 칭찬을 해서 갔어요 ㅋㅋ 고기진짜 질 좋네요 반찬도 깔끔하게 잘나와요 저도 소개마니 할듯~~^^자주올께요,1
2,삼겹살 존맛탱!!! 짱! 단체회식 최적화 굿,0
5,숙성삼겹 주문했다가 넘 맛있어서 덧살이랑 와규까지 완전 제대로 먹고 왔어요ㅋㅋ 진짜 배불리 잘 먹었네요♡,1
6,서비스도 좋고 맛도 엄청 좋았어요~가족들이랑 같이 갔는데 다 만족하는 식사였습니다.음식 세팅이며 주변 정리정돈 보고 엄청 꼼꼼하신 분이구나라고 생각 할 정도로 청결했어요~,1
5,숙성삼겹도 진짜 맛있었는데 덧살 완전 제스타일이던데요!!! 맛있게 잘 먹고왔습니당,1
4,맛있고 좋았습니다,1
5,굿,1
3,항아리 숙성고기 중 특수부위 삼겹살 모두 쫄깃하고 맛있었습니다같이 나오는 서브메뉴로 조개탕도 얼큰하고 심심한게 좋네요. 별미로 김치말이국수 시켰는데 물회양념을 써서 매콤달콤합니당! 추천.,0
5,"계산서에 소주를 3병이나 더 올려놨던데, 계산할때 확인하고 뺐지만 좀 주의해주세요.",1
1,,0
4,"시설, 서비스는 만족,  고기는 좀 느끼해서 ..",1
1,,0
4,"시설, 서비스는 만족,  고기는 좀 느끼해서 ..",1
1,,0
4,"시설, 서비스는 만족,  고기는 좀 느끼해서 ..",1
1,,0
4,"시설, 서비스는 만족,  고기는 좀 느끼해서 ..",1
1,,0
4,"시설, 서비스는 만족,  고기는 좀 느끼해서 ..",1
4,맛은 괜찮으나 양이 심하게 적은듯그리고 여자알바 불친절,1
4,어제 기분좋게 고기먹었다가 알바때문에 기분만 잡치고 갑니다.츄리닝입은 키큰남자알바생 결제받을때 한손 주머니에손넣고 짝다리에 한손으로 카드 뺏아가는것 마냥 가져가서 아무말없이 결제하고 카드 쑥 내밉니다.. 나갈때는 인사조차 안합니다 ㅋㅋ 돈주고 기분 잡치러가실거면 가세요 알바때문에 기분만 너무상합니다덕분에 기분만 잡치고 울산여행 1일차마무리합니다,1
4,오랜만에 삼산놀러와서 왔는데맛도 있고 직원들도 너무. 친절하여맛도2배로 맛있었오요ㅎㅎ,1
4,맛은 괜찮으나 양이 심하게 적은듯그리고 여자알바 불친절,1
